Var1	D_glucose	acetate	ethanol	glycerol	D_glucitol	D_galactose	D_ribose	D_xylose
YDL174C	0	0	0	0	0	0	0	0
YEL039C	0	0	0	0	0	0	0	0
YJR048W	0	0	0	0	0	0	0	0
YEL071W	0	0	0	0	0	0	0	0
YDL178W	0	0	0	0	0	0	0	0
YAL060W	0	0	0	0	0	0	0	0
YML054C	0	0	0	0	0	0	0	0
YGR032W	0	0	0	0	0	0	0	0
YMR306W	0.011839008	0.005537195	0.007501419	0.008760673	0.010858636	0.00935554	0.009931723	0.002903722
YLR342W	0	0	0	0	0	0	0	0
YCR034W	0	0	0	0	0	0	0	0
YIL020C	0	0	0	0	0	0	0	0
YHR037W	0	0.003015335	0.001544615	0	0	0	0	0.008140497
YEL038W	0	0	0	0	0	0	0	0
YMR009W	0	0	0	0	0	0	0	0
YOL066C	0.000640786	0.000249776	0.000371651	0.000449784	0.000579957	0.000486694	0.000522445	8.64e-05
YBR153W	0.044400027	0.020911044	0.028232282	0.032925935	0.040745797	0.035143209	0.037290847	0.01109544
YCL009C	0	0	0	0	0	0	0	0
YMR108W	0.00395735	0	0.001081126	0.001546597	0.003250953	0.002037828	0.002434962	0
YNL256W	0	0	0	0	0	0	0	0
YER152C	0	0	0	0	0	0	0	0
YGL202W	0	0.000374846	0	8.21e-05	0	0	0	0
YJL060W	0	0	0	0	0	0	0	0
YHR063C	0	0	0	0	0	0	0	0
YDR035W	0	0	0	0	0	0	0	0
YBR249C	0	0	0	0	0	0	0	0
YDR204W	0	0	0	0	0	0	0	0
YGL119W	0	0	0	0	0	0	0	0
YGR255C	0	0	0	0	0	0	0	0
YLR201C	0	0	0	0	0	0	0	0
YML110C	0	0	0	0	0	0	0	0
YOL096C	0	0	0	0	0	0	0	0
YOR125C	0	0	0	0	0	0	0	0
YGL009C	0.003981626	0.000145722	0.001332831	0.001838437	0.00334961	0.002277145	0.002634253	0
YNL104C	0.00099388	0	0	0.000419504	0.000824499	0.000537078	0.000632783	0
YOR108W	0	0	0.000277216	0	0	0	0	0
YHR208W	0	0	0	0	0	0	0	0
YJR148W	0	0	0	0	0	0	0	0
YHR137W	0	0.000447338	0	0.000140456	0	0	0	0
