	glucose_mmol/gDW	O2_mmol/gDW	CO2_mmol/gDW	ethanol_mmol/gDW	acetate_mmol/gDW	glycerol_mmol/gDW
REF	-1.07	-2.45	2.63	0.00	0.00	0.00
Temp33	-1.08	-2.33	2.72	0.00	0.00	0.00
Temp36	-1.11	-2.59	2.94	0.00	0.00	0.00
Temp38	-7.75	-7.55	15.09	10.70	0.14	0.74
Osmo0.2	-1.12	-2.57	2.88	0.00	0.00	0.00
Osmo0.4	-1.10	-2.36	2.87	0.00	0.00	0.03
Osmo0.6	-1.37	-4.09	4.12	0.00	0.00	0.08
Osmo0.8	-1.47	-4.35	4.21	0.00	0.00	0.09
Osmo1.0	-1.75	-5.26	5.81	0.00	0.00	0.18
Osmo1.2	-2.41	-5.38	8.38	0.49	0.00	0.17
Osmo1.3	-2.60	-5.71	7.53	0.99	0.00	0.45
Osmo1.4	-6.66	-6.71	9.59	4.68	1.85	3.91
EtOH20	-0.33	-4.65	2.98	-2.44	0.00	0.00
EtOH40	-0.61	-5.03	2.78	-1.75	0.00	0.01
EtOH60	-1.24	-5.27	3.42	-0.67	0.02	0.02
