,Protein.IDs,REF1,REF2,REF3,Temp36_1,Temp36_2,Temp33_1,Osmo0.4_1,Osmo0.4_2,Osmo0.4_3,Osmo0.2_1,Osmo0.2_2,Osmo0.2_3,Osmo0.6_1,Osmo0.6_2,Osmo0.6_3,EtOH20_1,EtOH60_1,EtOH20_2,EtOH20_3,EtOH60_2,EtOH40_1,EtOH40_2,EtOH40_3,EtOH60_3,Temp33_2,Temp33_3,Temp38_1,Temp38_2,Temp38_3,Temp36_3,Osmo0.8_1,Osmo0.8_2,Osmo0.8_3,Osmo1.0_2,Osmo1.0_1,Osmo1.2_2,Osmo1.2_1,Osmo1.2_3,Osmo1.3_1,Osmo1.3_2,Osmo1.3_3,Osmo1.4_1
30,P00817,38433.12143,39691.49622,38460.15106,38382.169,43359.57652,36740.41155,38796.6698,39595.70017,45228.31769,38894.78055,38827.2762,43374.86147,40763.17319,41983.66912,39726.73768,39164.04497,41646.17982,36825.63061,49158.46515,38197.48181,43678.96282,38586.79366,43667.3368,42384.99424,44898.24422,45813.51141,48471.00188,41189.6019,50057.92792,45500.09736,23543.94905,22552.91035,23252.81367,23602.70374,23570.80045,23223.05665,21853.18279,21630.81781,21543.13377,21441.72997,23600.20818,23000.03184
31,P00830,97664.13832,99318.69509,112374.054,76824.85604,79407.3318,108543.2066,123322.0157,103307.6671,113449.4608,113018.4278,102667.1939,125225.5634,114073.8497,116679.8079,151027.728,128753.6803,115471.9945,149795.3947,165891.8636,131230.8251,137917.9973,173873.5633,168608.2623,132034.4333,94654.30689,101112.9522,31166.68442,67664.9009,38319.41972,104253.0448,179072.245,172052.096,175461.0693,183119.1168,188980.8438,185791.7235,174321.1355,164425.539,166750.6992,164855.038,171439.9046,85874.37309
32,P00899,1182.220552,1172.076522,1272.543614,1068.713706,1018.726043,1104.209161,1314.3065,1180.776516,1300.326397,1262.444569,1143.078449,1455.710649,1193.447717,1394.412639,1417.693749,759.7487736,824.1739549,745.108767,896.6824449,693.1989886,1199.141647,804.0824406,1148.405781,924.1803548,1075.665879,1207.20504,962.5462979,844.8406363,850.0983877,1017.324088,2501.82127,2466.109843,2698.163004,2606.014376,2986.551011,2940.546526,2947.899076,2851.24113,3227.70131,2885.382709,2990.224625,5863.142991
33,P00924,75910.14988,78083.81424,105961.8119,72293.73387,89332.45549,83125.60337,72709.90527,77214.60666,85121.17527,70356.36439,74937.68972,93811.95228,69592.62754,60006.12301,62343.18188,28023.56752,61223.11844,23396.36027,23254.91483,47808.72759,26773.16979,32370.72759,16443.67545,81897.45,115993.0119,105670.7202,62994.44313,97956.51705,76366.83469,88083.37563,76511.94674,66858.30403,68501.21912,41324.94822,61282.67382,64726.73414,60740.39586,63746.30236,65238.88006,53415.29571,68309.28797,88048.46997
34,P00925,126382.3357,131023.495,162070.6936,128865.3386,149952.0693,147586.8087,154079.4516,153721.9926,149875.9269,139657.6998,123573.198,173225.3217,169349.1657,161209.6428,177973.042,83785.24955,92671.96247,87278.5539,94837.51147,82965.25285,79004.33631,95684.37478,73143.396,122792.7161,179925.8634,172700.1173,268771.7057,194801.8363,281641.4127,156011.8305,108066.1832,104823.6911,111766.5249,105063.8158,118874.9561,133058.95,128416.359,122154.7131,136511.5977,132310.9301,135467.3935,136501.1801
35,P00927,5249.505347,5201.37504,5545.835397,4070.786628,4873.47695,5247.642058,4620.986715,4442.172243,6175.978549,4649.611907,5424.607539,5451.885454,4632.834274,4608.32887,4850.703693,4689.386557,3781.751627,4599.206047,5749.075303,4125.518158,5015.87138,4420.838868,5545.898438,4575.912375,5669.704912,5559.865727,4246.159943,4468.618588,4758.913163,5146.073364,3879.392708,3820.94166,3700.721395,3914.351547,3706.348918,3843.368562,3728.397394,3665.779758,3777.514391,3578.178953,4086.062414,5751.750503
36,P00931,6470.715393,6458.264513,6112.791068,4253.554339,4808.684307,5377.928785,6489.310582,6356.406943,6877.009725,6265.819747,6389.668212,7197.502215,6177.094822,6415.295759,7282.239952,4783.592263,5334.953935,5219.351177,5945.917198,5185.42209,6209.254507,5153.660401,6932.351176,6453.446736,5702.471883,5982.985063,5746.755675,4736.376053,5439.848078,5634.983913,5295.427809,5474.513764,5404.74615,7002.112951,5750.605332,6017.331882,6557.041938,5941.899536,6624.72676,7122.459619,6685.18472,11043.39701
37,P00937,2145.626101,1888.266881,1765.750867,1527.504113,1652.652019,1858.152482,1865.435101,1865.901888,1810.187549,1804.347293,1867.459532,2264.039768,1724.639406,1744.408744,2160.337782,1378.330113,1094.812202,1516.630355,1751.648088,1421.329038,1859.388059,1411.553365,2067.495169,1470.279181,1609.489728,1666.192294,1572.60441,1421.238738,1641.977226,2090.291323,3187.15422,3612.678524,3318.675093,3803.98403,3587.31851,3394.575171,4056.966246,3772.701851,3621.103463,3746.79188,3275.061451,6228.563881
39,P00950,71069.23407,85896.79372,97950.37052,88462.24463,96210.38786,90353.64765,88746.23257,102260.6095,90674.70749,78862.0985,95380.51103,92682.38244,84110.90704,78146.85921,95793.65214,54970.53189,72474.39343,57025.81415,63025.25265,56898.66084,47644.02246,54445.00531,46560.70983,83697.09029,112978.6011,102323.6944,126821.5301,99358.56753,131236.6402,92379.11928,67356.86477,62131.93957,63272.92678,55146.20562,63878.85,67690.42288,62612.49749,64591.41909,63576.8684,63436.59685,66312.28162,88750.4661
41,P01094,NA,82.89262269,NA,NA,NA,NA,94.4537839,NA,29.38722271,NA,67.68296715,NA,57.24928575,44.18381354,NA,48.5879547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.39161485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,P01119,166.5456633,190.3497496,274.0730656,245.2123492,206.7922012,183.1443686,121.5487812,NA,189.7073145,150.5049209,NA,200.1247682,141.1039195,140.1005415,NA,105.0061256,137.5098206,NA,NA,NA,154.2587365,NA,NA,207.4251355,200.3975721,214.2862013,236.5295535,NA,236.8167889,248.1866273,145.9619856,NA,168.0924916,NA,173.0442001,137.605353,NA,137.65649,169.8791417,156.0036409,NA,77.46543198
46,P02309,48458.66152,53521.13373,50561.06583,43630.00016,44037.33419,51953.88306,42591.38013,48756.67096,60899.5803,49643.0051,60161.28469,50604.35113,41027.22648,41394.54762,49098.60179,68741.0781,55710.60853,59942.73542,102778.0107,54908.80025,58253.52309,57611.73176,68016.18092,71486.59611,46797.80446,50065.60294,35657.59711,41230.0805,44853.70202,57399.99161,28435.99763,27778.63784,30074.35158,28357.33483,26333.85225,24065.4554,26030.36611,24200.93695,26073.65668,24058.93831,29333.58118,14215.42048
47,P02309,48458.66152,53521.13373,50561.06583,43630.00016,44037.33419,51953.88306,42591.38013,48756.67096,60899.5803,49643.0051,60161.28469,50604.35113,41027.22648,41394.54762,49098.60179,68741.0781,55710.60853,59942.73542,102778.0107,54908.80025,58253.52309,57611.73176,68016.18092,71486.59611,46797.80446,50065.60294,35657.59711,41230.0805,44853.70202,57399.99161,28435.99763,27778.63784,30074.35158,28357.33483,26333.85225,24065.4554,26030.36611,24200.93695,26073.65668,24058.93831,29333.58118,14215.42048
48,P02381,87.06266521,91.62847086,84.69621626,69.05742931,62.43537338,77.53700471,90.69126242,82.74259714,103.1006131,90.22523565,84.12224896,99.77428953,71.36950048,94.39949316,91.62375236,69.49438784,137.2801024,74.79576455,105.4011481,149.5663792,115.4077737,173.4604492,136.836673,117.1041649,68.46221355,74.50136702,33.60018218,46.38273324,43.3890826,81.95619373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,P02406,7539.616378,8290.786714,6806.789092,9133.917567,7349.366432,7141.55712,7110.316271,7297.74151,6797.147748,8911.001195,8588.248893,7502.569425,7187.911021,7524.416674,7416.980387,6341.609245,6113.474431,7117.346742,7294.572024,6230.648727,6208.767945,6481.092836,6835.877935,7541.309026,8138.133935,7628.653483,6756.135191,6264.344658,6870.833334,8507.768047,4681.70771,4296.466022,4931.921582,4052.608426,4091.21299,4073.997273,3707.263484,3509.339299,4009.652939,3760.220905,4041.140132,2543.028927
52,P02829,4237.218969,4705.876277,5041.84452,9989.739515,8516.9209,6071.87768,4557.081585,4994.364885,4354.855525,4788.111498,4072.608003,4766.479623,4859.452852,4298.906654,4845.711897,3763.494295,6651.831982,3578.51314,4297.722588,5510.920879,3992.640023,5146.434392,3791.506799,7070.14928,7004.997391,7527.561944,23270.44738,18617.52698,24083.30622,12455.48692,7469.240899,6629.03108,7614.494913,5669.676618,6916.703749,6970.012239,5714.113707,6583.148742,6576.521469,5164.271646,5688.775844,9449.53297
53,P02992,8021.609499,7181.674052,6994.178143,8560.485406,7492.394462,7059.624322,7315.6342,8451.593522,8388.653009,7326.811048,7192.979072,7870.794533,6478.096868,6960.907474,7884.888648,6264.204557,12739.29736,8532.737158,9889.960689,15045.53241,13193.16931,16323.83475,14004.93927,15057.22534,6565.645838,7939.9509,9558.369672,14722.66102,11941.83493,9476.460024,5716.262608,5682.7968,5903.543583,7590.982887,6355.436065,6526.580712,6802.146176,6332.621252,6833.066116,7234.60472,7172.683242,3707.91719
54,P02994,63092.16755,63569.32691,63953.69493,62129.15972,62248.09517,52297.3244,64325.28337,59755.03379,66173.66376,62720.82035,64311.47077,70252.73911,62534.71947,68527.70226,74253.2474,49824.63767,48803.36079,57725.57638,68046.68247,57384.4527,54138.2539,59274.51374,65208.34996,58966.78723,67956.48122,66902.65082,72217.77588,69246.52723,81606.05567,69479.03431,78360.26167,74860.10262,77641.70353,87208.94741,83700.366,80137.13835,79806.67592,76472.95082,83725.36843,82624.92826,87346.70789,74578.49292
55,P02994,63092.16755,63569.32691,63953.69493,62129.15972,62248.09517,52297.3244,64325.28337,59755.03379,66173.66376,62720.82035,64311.47077,70252.73911,62534.71947,68527.70226,74253.2474,49824.63767,48803.36079,57725.57638,68046.68247,57384.4527,54138.2539,59274.51374,65208.34996,58966.78723,67956.48122,66902.65082,72217.77588,69246.52723,81606.05567,69479.03431,78360.26167,74860.10262,77641.70353,87208.94741,83700.366,80137.13835,79806.67592,76472.95082,83725.36843,82624.92826,87346.70789,74578.49292
57,P03872,2190.918413,2154.53025,2431.717324,2385.935535,1982.86538,2460.085468,NA,1929.877866,2743.642095,2316.08405,2361.652074,2233.541984,2499.887693,1823.249764,2308.417181,2635.981579,3169.161271,2899.040516,3937.474351,3837.504119,2766.273039,3184.783466,3256.469225,5135.362515,2135.089567,2224.006597,1351.54977,1333.458913,1597.061277,2744.670532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,P03962,1219.32685,1349.012354,1283.780092,1003.536859,1075.56001,1126.070842,1180.175027,1157.921228,1393.564607,1264.332135,1199.28869,1368.318872,1148.414197,1155.618141,1212.768171,1242.49386,615.8271645,1217.263525,1319.78336,774.24224,897.4181871,960.7734112,1022.626614,665.4438282,1107.333261,1265.815346,655.1693778,531.3859696,585.3997421,1023.180733,1363.394992,1339.687255,1188.309103,1242.868601,1357.513986,1302.321768,1203.02079,1117.832319,1176.233988,1111.757144,1025.468646,838.848433
62,P04039,NA,1574.66322,NA,NA,NA,NA,1466.527105,NA,NA,NA,NA,1294.264586,NA,1322.428552,NA,1825.304627,NA,NA,NA,NA,NA,NA,NA,NA,1346.301599,NA,NA,NA,NA,1581.878939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,P04046,1290.361256,1352.475641,1483.89504,1139.268209,1359.13567,1315.320237,1346.170167,1252.556358,1624.680096,1338.108118,1587.843018,1544.080993,1269.672877,1246.649251,1644.755453,1640.729475,1571.884796,1674.844232,2425.973899,1734.914445,2076.277681,1709.473037,2426.444358,1877.938431,1628.486288,1561.16324,1932.247299,1555.470286,2115.930605,1581.421003,1642.373949,1722.173854,1810.608564,1952.845794,1956.797019,1914.013407,2056.043355,2019.247987,2213.266377,2096.149887,2199.627026,1770.51663
66,P04076,10647.80916,9774.933129,9025.979149,6358.286943,6976.710186,10033.9471,5229.856089,5405.798719,9845.861157,6890.436217,10131.76144,7580.477833,3953.644781,3612.705785,4311.692287,15506.67134,7320.335554,14505.17643,19816.60795,8507.244715,23241.68516,12803.23235,23589.99991,7666.13295,7814.108855,8223.669891,7051.573355,5381.382104,6964.111461,7940.709697,2742.462918,2978.240894,2758.543085,3899.501231,2509.717578,2567.203183,3073.5243,2661.160248,3087.556109,3636.675086,3285.807469,15413.99044
67,P04147,7817.682428,8299.113528,8157.116874,7871.821503,7451.057074,7917.325357,8053.632965,9112.125546,8851.648201,8562.872813,8388.71741,9585.641446,8077.697336,8391.253004,9979.107172,7706.338692,7307.726895,7826.752845,8583.850262,6993.496763,6894.629868,7100.125918,7979.204078,8016.423821,7892.824504,8311.63263,6579.152319,6639.061818,7082.70828,8883.677549,7364.794167,7086.680543,7555.907177,7201.367688,7341.907781,6771.746368,6939.549881,6526.786228,7264.841281,7290.105469,7298.027424,5921.477292
68,P04161,420.4406708,475.2479851,423.5176473,396.0247186,495.5383773,371.4298007,427.2611091,442.7539284,496.8266573,456.9600684,444.8150325,508.2264154,381.1108854,443.7341601,480.5844149,405.8231474,374.3400561,401.382939,569.3163995,402.5430053,510.3728285,507.3478367,760.8103797,461.839651,586.0442812,633.139141,547.2869072,510.9440348,629.4050943,560.0431344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,P04449,19054.76513,20107.99882,18620.07658,19855.68136,21667.11196,17952.62065,21305.57581,22158.531,21865.48837,21645.29211,17645.57028,23291.06924,21850.66933,22414.64333,24424.74439,17617.84842,22504.607,18252.44504,19131.08595,18019.09325,18777.32242,17545.93883,21049.9715,22048.66651,21921.23923,19963.25858,18064.5259,18717.36581,19554.60961,22024.191,12660.54839,11954.39389,11972.6644,11945.27953,11623.58382,10754.68742,10642.18764,9847.535284,10941.70587,10981.58592,10832.76543,6346.942936
72,P04786,NA,NA,NA,30.97985183,40.22053919,NA,47.78709644,NA,NA,NA,178.3772999,NA,32.99542898,42.65106274,41.00813077,46.57057066,61.00991309,NA,NA,69.30833926,69.93329531,58.8416104,18.47259939,52.72428527,35.13468994,43.60944187,52.54229475,70.18837701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,P04802,2403.097533,2528.189204,2533.996365,2801.663323,2712.81957,2578.614019,3396.565933,3254.838167,2741.938683,3094.750177,2453.877955,3523.157136,3451.509352,3474.564808,4261.242031,1935.986906,3024.952196,2259.802609,2354.072552,3022.993797,2363.410811,2479.36185,2492.349731,3535.814071,2656.784857,3005.211747,2554.695736,2629.471725,2817.072412,3127.579202,4313.574184,4184.89041,4357.179428,4675.950056,4439.434438,4543.935466,4496.082695,4303.073702,4582.984084,4472.691229,5141.833435,5319.156021
75,P04803,100.9002983,99.85668333,108.3722819,155.1666128,130.1749896,107.6507274,110.4141819,109.7011336,NA,117.1927314,130.0110412,117.830711,78.82835804,113.2945519,NA,88.51487153,165.1700925,92.18753639,292.5475164,198.4405358,179.6196016,172.7856062,176.1051359,178.1460198,133.9295377,NA,175.0210587,264.3033772,126.9966847,112.9132492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,P04807,7578.274177,7505.631652,8155.003588,5956.757742,5983.280009,6826.533518,13452.6669,14931.69671,8061.131141,12205.67971,7770.12922,12364.42366,14356.76225,15098.55664,16708.748,9320.65927,3019.711328,12117.92471,13149.89206,2584.72471,4213.82744,4107.480948,4214.89907,2898.848932,7231.101931,7677.149213,6533.218169,6388.007564,6893.734056,6993.608112,8609.246255,8270.404311,8254.315819,10553.32387,9033.417996,9593.156141,10562.70627,9271.981783,10162.63388,9866.572563,10232.83208,5090.809845
79,P04840,44335.92106,43932.66647,49874.09627,56026.91982,53818.24485,51071.91833,39817.83234,35731.90206,50734.72565,41924.37826,49396.838,47784.21245,36097.48647,33184.67505,42970.46747,60479.94335,63543.15416,53701.4252,65392.73248,57192.60071,80927.02807,77406.85057,79450.09555,71895.62107,50371.92084,59883.6597,31455.30964,66216.62499,41277.77361,68787.42506,44514.65581,41575.61497,39056.63451,47625.91848,40066.651,36924.74627,36899.00455,33906.60632,40986.53791,40492.46894,40240.36344,27811.94018
81,P05317,55706.35139,42556.97082,53281.95976,60773.80366,48003.55372,43484.34476,49413.77121,52389.76597,55152.7228,41886.41308,58089.87498,52425.89186,53025.54636,46469.05958,54398.98997,41158.52554,37699.22565,41714.05046,40412.49582,38857.21577,35667.11784,38471.82895,47012.13726,46657.27424,49034.5233,46350.07522,44677.69194,47006.32396,50306.37754,49633.1299,30380.04721,28811.01782,29560.85658,28486.4467,27610.08036,24142.7053,24432.16576,23654.74075,23937.51232,27286.04901,27472.13944,20668.43734
82,P05318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506.9417437,616.4696528,596.1857822,615.6434814,536.3624699,NA,566.4348706,456.1054527,NA,589.1247406,653.8924526,NA
83,P05319,20906.74203,25881.52091,24460.81689,20954.37115,26331.783,27339.21803,21415.99282,29734.57226,21109.744,24564.67026,21946.64299,20289.47284,24749.40525,19748.83725,24751.11293,20073.74817,20605.31218,16221.30233,17126.65933,15339.0011,21560.15625,19369.21597,20922.59433,19673.02181,22881.79369,25092.18521,17674.31414,18573.90772,19679.49746,21500.71204,14376.37342,13642.09307,11990.10531,13388.57631,13343.98397,11809.93908,12107.64669,10886.37038,11845.70871,12556.52367,13047.21547,9580.894879
84,P05373,3984.675709,4259.166556,4086.449835,4726.269841,4226.497221,4072.616711,4214.600702,4467.028469,4834.32967,4520.459545,3856.987133,5137.590868,4125.983884,4423.280478,5434.198857,3076.038317,6156.475785,3551.464987,4410.816943,6495.389661,6534.055446,9576.573668,6476.608474,6712.023969,3382.422352,4235.659126,4349.7442,6396.165851,5064.400431,5105.695741,2960.282463,3330.91131,2989.353486,3548.693868,3060.817426,3016.838238,2843.188129,2756.990173,2711.134841,2872.877075,2440.248296,1256.574143
85,P05375,NA,4500.924525,NA,NA,6065.722833,4377.972441,3666.42466,NA,NA,3687.747821,NA,4116.029265,5932.604114,NA,NA,13647.23782,7863.54336,NA,16011.98989,NA,14454.39252,8521.126302,18427.67248,6758.791683,4264.362776,5376.634357,8580.661132,14543.76175,7778.923736,5202.575829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,P05626,14317.98127,15180.88214,15305.58606,14582.65266,13203.84287,14801.72376,15619.10645,14791.66483,16203.66017,15389.20701,14518.10222,16627.33308,15855.45397,14837.03803,18331.31328,21678.23647,14686.41513,22232.8241,23435.15712,17506.96715,20610.7935,25800.13823,21305.9206,17630.72774,13273.38301,13614.53899,2480.833932,6868.392172,3418.163791,14159.63586,17851.36338,16754.13702,17697.13852,18943.01373,16351.77366,16324.60204,16985.28156,16642.92162,16947.01161,16730.26326,16932.7048,8920.719484
88,P05694,54897.72436,50910.53255,53275.13153,32871.88966,39591.53397,44171.22713,55022.41257,55947.50071,56217.5527,53997.11976,52358.58003,61857.85441,48782.25495,44998.26846,56920.2721,44531.74229,70385.46054,46153.91672,53633.696,69150.24722,74612.75042,61196.55385,91366.45675,80831.72442,42870.51003,45677.02656,44610.46665,35477.22425,44577.63103,43658.57088,37778.92087,38353.77364,40571.90672,42696.35544,36848.73969,28902.28044,31481.0544,28093.00302,31255.05483,35162.31915,34691.94863,44771.96512
