Rxn name	Formula	Gene-reaction association	LB	UB	Objective
HMR_4089	m02439c[c] + m02554c[c]  -> m01596c[c] + m02039c[c] + m02555c[c] + m02819c[c] 	ENSG00000013392	  0.00	   Inf	  0.00
HMR_4343	m02806c[c] + m03118c[c]  -> m02759c[c] + m03114c[c] 	ENSG00000094841	  0.00	   Inf	  0.00
HMR_4346	m01052c[c] + m02040c[c]  -> m00923c[c] 	ENSG00000092964	  0.00	   Inf	  0.00
HMR_8072	m00639c[c] + m02040c[c]  -> m01672c[c] + m02751c[c] 		  0.00	   Inf	  0.00
HMR_4344	m01052c[c] + m02552c[c]  -> m02039c[c] + m02553c[c] + m03118c[c] 		  0.00	   Inf	  0.00
HMR_7642	m01638c[c]  -> m01307c[c] 	ENSG00000147471	  0.00	   Inf	  0.00
HMR_8626	m01261m[m] + m01370m[m]  -> m01597m[m] + m02532m[m] 		  0.00	   Inf	  0.00
HMR_4191	m01365m[m]  -> m01303m[m] + m01596m[m] 	ENSG00000142920	  0.00	   Inf	  0.00
HMR_6956	m01597c[c] + m02501c[c]  -> m01261c[c] + m02504c[c] 		  0.00	   Inf	  0.00
HMR_6957	m01597p[p] + m02501p[p]  -> m01261p[p] + m02504p[p] 		  0.00	   Inf	  0.00
HMR_3860	m02321m[m]  -> m01332m[m] + m01596m[m] 		  0.00	   Inf	  0.00
HMR_8442	m00671c[c] + m01597c[c] + m02552c[c]  -> m01596c[c] + m02039c[c] + m02553c[c] + m02774c[c] 		  0.00	   Inf	  0.00
HMR_9718	m01371c[c] + m02136c[c]  -> m01285c[c] + m02655c[c] 		  0.00	   Inf	  0.00
HMR_9486	m02040c[c] + m02655c[c]  -> m02751c[c] + m02993c[c] 	ENSG00000185875	  0.00	   Inf	  0.00
HMR_6974	m02426c[c]  -> m00204c[c] + m02040c[c] 		  0.00	   Inf	  0.00
HMR_8017	m02040p[p] + m02426p[p] + m02630p[p]  -> m01157p[p] + m02041p[p] + m02578p[p] 		  0.00	   Inf	  0.00
HMR_8018	m01157p[p]  -> m01663p[p] + m02040p[p] 		  0.00	   Inf	  0.00
HMR_8019	m01663p[p] + m02039p[p] + m02553p[p]  -> m02413p[p] + m02552p[p] 		  0.00	   Inf	  0.00
HMR_4250	m00629c[c]  -> m02040c[c] + m02822c[c] 		  0.00	   Inf	  0.00
HMR_6734	m02040c[c] + m02875c[c]  -> m01249c[c] + m01736c[c] 		  0.00	   Inf	  0.00
HMR_6738	m02040c[c] + m02876c[c]  -> m01736c[c] + m02819c[c] 		  0.00	   Inf	  0.00
HMR_6782	m01005c[c] + m02039c[c] + m02553c[c]  -> m01004c[c] + m02552c[c] 		  0.00	   Inf	  0.00
HMR_6783	m01004c[c] + m02040c[c]  -> m00981c[c] + 4 m02039c[c] 		  0.00	   Inf	  0.00
HMR_6784	m00981c[c] + m01371c[c] + m01597c[c]  -> m00982c[c] + m01334c[c] + m02759c[c] 		  0.00	   Inf	  0.00
HMR_6785	m00982c[c] + m01597c[c] + m02040c[c] + m02552c[c]  -> m00996c[c] + m01261c[c] + m02039c[c] + m02553c[c] 		  0.00	   Inf	  0.00
HMR_6786	m00996c[c] + m02040c[c]  -> m00995c[c] + m01597c[c] 		  0.00	   Inf	  0.00
