#id: 137
#name: E.coli - Whole organism (Integrated)
#score: 23.08
#weight: 
#description: integrated dataset: weighted average of all E.coli WHOLE_ORGANISM datasets<br/><b>Interaction consistency score</b>: 23.08&nbsp<b>Coverage</b>: 99
#organ: WHOLE_ORGANISM
#integrated : true
#coverage: 99
#publication_year: 2017
#filename: 511145-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
6881590	511145.b0789	1.1
6882118	511145.b1341	25.2
6882232	511145.b1475	2.97
6883902	511145.b3309	2603
6881517	511145.b0708	1.45
6884256	511145.b3678	0.279
6881088	511145.b0220	489
6881220	511145.b0375	0.398
6881241	511145.b0398	0.036
6882105	511145.b1328	0.016
6881544	511145.b0736	18.8
6883640	511145.b3020	8.36
6884683	511145.b4161	58.0
6880897	511145.b0014	2657
6883585	511145.b2952	10.4
6884387	511145.b3835	3.65
6883462	511145.b2809	507
6883114	511145.b2429	1.13
6881416	511145.b0588	16.9
6883039	511145.b2342	22.4
6883546	511145.b2908	287
6884854	511145.b4358	0.03
6882213	511145.b1451	0.871
6881280	511145.b0437	433
6883547	511145.b2909	169
6882873	511145.b2168	78.9
6882036	511145.b1258	362
6883069	511145.b2377	19.0
6883150	511145.b2465	416
6884315	511145.b3743	27.8
6884014	511145.b3425	6.61
6882541	511145.b1800	1.66
6884560	511145.b4033	1.43
6882533	511145.b1792	93.1
6883914	511145.b3321	1951
6882202	511145.b1440	890
6882642	511145.b1904	8.13
6881065	511145.b0189	105
6881196	511145.b0346	21.6
6882689	511145.b1959	0.62
6880959	511145.b0080	23.7
6883394	511145.b2739	0.437
6881995	511145.b1212	0.324
6883897	511145.b3304	1288
6881822	511145.b1026	0
6882843	511145.b2136	0.108
6883443	511145.b2790	139
6882502	511145.b1761	544
6884116	511145.b3535	0
6884364	511145.b3810	10.1
6883915	511145.b3322	1.33
6882647	511145.b1912	25.3
6884127	511145.b3547	0.047
6881796	511145.b0997	0.224
6882557	511145.b1816	1.99
6882217	511145.b1455	0
6881344	511145.b0506	46.4
6884273	511145.b3701	103
6881238	511145.b0394	116
6883832	511145.b3226	11.1
6884420	511145.b3877	0
6881548	511145.b0740	397
6883052	511145.b2360	0.164
6881403	511145.b0575	4.27
6881381	511145.b0549	0
6881263	511145.b0420	53.9
6881965	511145.b1182	3.87
6881422	511145.b0594	58.5
6882460	511145.b1717	163
6882122	511145.b1345	0.163
6881682	511145.b0881	5.78
6881258	511145.b0415	1116
6881645	511145.b0844	8.25
6882334	511145.b1589	3.26
6881912	511145.b1121	0.007
6882133	511145.b1357	0.007
6881063	511145.b0187	46.8
6883695	511145.b3078	0
6882354	511145.b1609	1.14
6881790	511145.b0991	0
6883246	511145.b2561	9.85
6883645	511145.b3025	2.41
6881976	511145.b1193	4.54
6882433	511145.b1690	0
6883413	511145.b2758	0.455
6883981	511145.b3390	171
6884764	511145.b4252	389
6880891	511145.b0007	0.01
6880993	511145.b0116	1087
6882072	511145.b1294	3.95
6881108	511145.b0245	0.005
6881897	511145.b1106	0.639
6884196	511145.b3617	79.9
6880997	511145.b0120	50.0
6882978	511145.b2279	70.5
6882184	511145.b1420	0
6881228	511145.b0383	3.96
6881308	511145.b0466	0
6883999	511145.b3408	68.1
6882003	511145.b1220	0.102
6881490	511145.b0676	42.3
6881242	511145.b0399	7.79
6884957	511145.b4533	0
6884642	511145.b4119	10.1
6882164	511145.b1396	0.038
6883111	511145.b2426	121
6884778	511145.b4266	3.81
6881814	511145.b1018	73.8
6882634	511145.b1893	0
6883727	511145.b3114	22.4
6884092	511145.b3510	1301
6884306	511145.b3734	1243
6880914	511145.b0032	287
6883496	511145.b2846	1.29
6881032	511145.b0155	1.07
6883042	511145.b2345	2.08
6884754	511145.b4240	6.82
6883288	511145.b2608	134
6884541	511145.b4014	1609
6883254	511145.b2569	141
6880918	511145.b0036	0.658
6881706	511145.b0906	1.52
6881599	511145.b0798	0.503
6881802	511145.b1003	1044
6884842	511145.b4346	0.79
6884191	511145.b3612	201
6880932	511145.b0050	7.18
6882198	511145.b1435	3.8
6882373	511145.b1628	1.2
6881816	511145.b1020	3.46
6883742	511145.b3131	1.7
6882780	511145.b2065	107
6881801	511145.b1002	357
6881663	511145.b0862	5.63
6881524	511145.b0715	0.007
6884218	511145.b3639	82.5
6883792	511145.b3185	902
6882756	511145.b2041	101
6882074	511145.b1296	0
6881731	511145.b0931	108
6883149	511145.b2464	1038
6881197	511145.b0347	0.016
6882926	511145.b2224	0.396
6883025	511145.b2326	0.918
6882504	511145.b1763	2.55
6883604	511145.b2976	302
6883898	511145.b3305	1681
6881650	511145.b0849	54.4
6883265	511145.b2580	15.6
6884552	511145.b4025	610
6884588	511145.b4062	2.84
6883176	511145.b2491	0.023
6882096	511145.b1319	0.639
6881794	511145.b0995	1.9
6883802	511145.b3195	23.3
6883564	511145.b2928	0.557
6883848	511145.b3242	0
6881749	511145.b0949	14.8
6883175	511145.b2490	0
6884904	511145.b4419	0
6882395	511145.b1650	10.0
6883030	511145.b2331	28.9
6882811	511145.b2100	0.332
6881185	511145.b0335	0.172
6882406	511145.b1661	62.9
6883788	511145.b3181	536
6882203	511145.b1441	53.0
6883041	511145.b2344	59.5
6882420	511145.b1677	5694
6883634	511145.b3012	240
6883257	511145.b2572	8.41
6883924	511145.b3331	0.027
6884291	511145.b3719	0.221
6883392	511145.b2737	0.533
6884629	511145.b4106	0.122
6882284	511145.b1531	2.27
6884555	511145.b4028	0.005
6882929	511145.b2229	0
6883894	511145.b3301	1586
6884072	511145.b3487	39.8
6883683	511145.b3065	1818
6883125	511145.b2440	2.78
6882028	511145.b1250	14.1
