Rxn name	Formula	Gene-reaction association	LB	UB	Objective
GTHPm	2 gthrd[m] + h2o2[m]  -> gthox[m] + 2 h2o[m] 	YALI0_F21219g	  0.00	1000.00	  0.00
GUAPRT	gua[c] + prpp[c]  -> ppi[c] + gmp[c] 	YALI0_E16753g	  0.00	1000.00	  0.00
HXPRT	hxan[c] + prpp[c]  -> ppi[c] + imp[c] 	YALI0_E16753g	  0.00	1000.00	  0.00
y000576	s_1117[g] + m1679[gm]  -> s_0862[g] + m1704[gm] 	YALI0_E16434g	  0.00	1000.00	  0.00
y000577	s_1120[g] + m1679[gm]  -> s_0865[g] + m1704[gm] 	YALI0_E16434g	  0.00	1000.00	  0.00
y000578	s_1129[g] + m1679[gm]  -> s_0874[g] + m1704[gm] 	YALI0_E16434g	  0.00	1000.00	  0.00
y000579	s_1132[g] + m1679[gm]  -> s_0877[g] + m1704[gm] 	YALI0_E16434g	  0.00	1000.00	  0.00
y000580	s_1123[g] + m1679[gm]  -> s_0868[g] + m1704[gm] 	YALI0_E16434g	  0.00	1000.00	  0.00
y000581	s_1126[g] + m1679[gm]  -> s_0871[g] + m1704[gm] 	YALI0_E16434g	  0.00	1000.00	  0.00
y000582	s_1135[g] + m1679[gm]  -> s_0880[g] + m1704[gm] 	YALI0_E16434g	  0.00	1000.00	  0.00
y000583	s_1138[g] + m1679[gm]  -> s_0883[g] + m1704[gm] 	YALI0_E16434g	  0.00	1000.00	  0.00
y000584	s_1141[g] + m1679[gm]  -> s_0886[g] + m1704[gm] 	YALI0_E16434g	  0.00	1000.00	  0.00
y000585	s_1144[g] + m1679[gm]  -> s_0889[g] + m1704[gm] 	YALI0_E16434g	  0.00	1000.00	  0.00
y000586	m1033[g] + m1679[gm]  -> m1704[gm] + m1707[g] 	YALI0_E16434g	  0.00	1000.00	  0.00
y000587	m1034[g] + m1679[gm]  -> m1704[gm] + m1708[g] 	YALI0_E16434g	  0.00	1000.00	  0.00
y000588	m1035[g] + m1679[gm]  -> m1704[gm] + m1709[g] 	YALI0_E16434g	  0.00	1000.00	  0.00
y000589	m1036[g] + m1679[gm]  -> m1704[gm] + m1710[g] 	YALI0_E16434g	  0.00	1000.00	  0.00
y000590	m1179[g] + m1679[gm]  -> m1704[gm] + m1711[g] 	YALI0_E16434g	  0.00	1000.00	  0.00
y000591	m1182[g] + m1679[gm]  -> m1704[gm] + m1712[g] 	YALI0_E16434g	  0.00	1000.00	  0.00
y000592	m1180[g] + m1679[gm]  -> m1704[gm] + m1713[g] 	YALI0_E16434g	  0.00	1000.00	  0.00
y000593	m1183[g] + m1679[gm]  -> m1704[gm] + m1714[g] 	YALI0_E16434g	  0.00	1000.00	  0.00
y000594	m1181[g] + m1679[gm]  -> m1704[gm] + m1715[g] 	YALI0_E16434g	  0.00	1000.00	  0.00
y000595	m1184[g] + m1679[gm]  -> m1704[gm] + m1716[g] 	YALI0_E16434g	  0.00	1000.00	  0.00
ACHLE1	h2o[c] + iamac[c]  -> ac[c] + h[c] + iamoh[c] 	YALI0_B07227g	  0.00	1000.00	  0.00
ACHLE2	h2o[c] + ibutac[c]  -> ac[c] + h[c] + ibutoh[c] 	YALI0_B07227g	  0.00	1000.00	  0.00
ASNN	h2o[c] + asn__L[c]  -> nh3[c] + CE1787[c] 		  0.00	1000.00	  0.00
FKYNH	h2o[c] + Lfmkynr[c]  -> for[c] + h[c] + Lkynr[c] 	YALI0_C06732g or YALI0_E03806g	  0.00	1000.00	  0.00
