Var1	D_glucose	acetate	ethanol	glycerol	D_glucitol	D_galactose	D_ribose	D_xylose
YHR137W	0	0.000429079	0	0	0	1.88e-05	0	0
YDR234W	0.021800319	0.009760329	0.013033739	0.015397038	0.020067664	0.016837469	0.0179569	0.004611821
YPR001W	0	0	0	0	0	0	0	0
YOL064C	0.000159558	1.69e-05	5.57e-05	8.37e-05	0.000139023	0.00010074	0.000114007	0
YGL248W	0	0	0	0	0	0	0	0
YOR360C	0	0	0	0	0	0	0	0
YDR487C	0	0	0	0	0	0	0	0
YDR127W	0.003621948	0.001575775	0.002132089	0.002533728	0.003327489	0.002778526	0.002968771	0.000700783
YBR265W	0	0	0	0	0	0	0	0
YPL252C	0	0	0	0	0	0	0	0
YDR376W	0	0	0	0	0	0	0	0
YDR538W	0	0	0	0	0	0	0	0
YDR539W	0	0	0	0	0	0	0	0
YLR231C	0	0	0	0	0	0	0	0
YKR009C	0	0	0	0	0	0	0	0
YJR025C	0	0	0	0	0	0	0	0
YER175C	0	0	0	0	0	0	0	0
YCL018W	0.001523753	0.000631082	0.000873782	0.001049003	0.001395292	0.001155799	0.001238796	0.000249354
YGR087C	0	0	0	0	0	0	0	0
YLR044C	0.034338882	0	0	0.002537198	0.012014593	0.001392214	0.000339728	1.47e-05
YLR134W	0	0	0	0	0	0	0	0
YBR176W	0	0	0	0	0	0	0	0
YDL080C	0	0	0	0	0	0	0	0
YNR033W	0	0	0	0	0	0	0	0
YMR289W	0	0	0	0	0	0	0	0
YGR019W	0	0.009271876	0	0.014380096	0	0	0	0
YCR053W	0	0	0	0	0	0	0	0
YLR410W	0	0	0	0	0	0	0	0
YOR163W	0	0	0	0	0	0	0	0
YDR017C	0	0	0	0	0	0	0	0
YLR017W	0	0	0	0	0	0	0	0
YER037W	0	0	0	0	0	0	0	0
YGL224C	0	0	0	0	0	0	0	0
YOR155C	0	0	0	0	0	0	0	0
YGR061C	0.002777401	0.001195525	0.001625606	0.00193611	0.002549758	0.00212536	0.002272437	0.000519078
YGL125W	0	0	0	0	0	0	0	0
YPL023C	0	0	0	0	0	0	0	0
YDR232W	0	0	0	0	0	0	0	0
YER183C	0	0	0	0	0	0	0	0
YER091C	0.004690716	0.002056977	0.002773038	0.003290006	0.004311702	0.003605102	0.003849976	0.000930729
YJR024C	0	0	0	0	0	0	0	0
YPR118W	0	0	0	0	0	0	0	0
YIL107C	0	0	0	0	0	0	0	0
YOL136C	0	0	0	0	0	0	0	0
YGR248W	0	0	0	0	0	0	0	0
YHR163W	0.012242733	0	0	0	0.012493021	0.012689645	0.011175024	0.00553323
YLR355C	0.012735298	0.005678952	0.007597425	0.008982502	0.011719836	0.009826701	0.010482771	0.002661515
YIL160C	0	0	0	0	0	0	0	0
YPL028W	0	0	0	0	0	0	0	0
YMR207C	0	0	0	0	0	0	0	0
YDL141W	0	0	0	0	0	0	0	0
YNR016C	0.008366365	0.003711897	0.004977352	0.005890969	0.007696552	0.006447815	0.006880568	0.001721545
YBL015W	0	0	0	0	0	0	0	0
YAL054C	0	0	0	0	0	0	0	0
YLR153C	0.001421354	0.029949938	0.019613268	0.007422885	0.001300993	0.004156692	0.001154367	0.000227322
YER069W	0.004940013	0.00216922	0.002922543	0.003466417	0.004541276	0.003797906	0.004055523	0.000962824
YBR093C	0	0	0	0	0	0	0	0
YAR071W	0	0	0	0	0	0	0	0
YBR092C	0	0	0	0	0	0	0	0
YHR215W	0	0	0	0	0	0	0	0
YPR002W	0	0	0	0	0	0	0	0
YOL140W	0.006059963	0.002673466	0.003594186	0.004258912	0.005572621	0.004664065	0.004978928	0.001203782
YPL148C	0	0	0	0	0	0	0	0
YGL205W	0	0	0	0	0	0	0	0
YCR048W	0	0	0	0	0	0	0	0
YNR019W	0	0	0	0	0	0	0	0
YJL091C	0	0	0	0	0	0	0	0
YNL141W	0	0	0	0	0	0	0	0
YDR441C	0	0	0	0	0	0	0	0
YML022W	0	0	0	0	0	0	0	0
YJR105W	8.65e-05	0	1.19e-05	3.2e-05	7.18e-05	4.42e-05	5.38e-05	0
YML035C	0	0	0	0	0	0	0	0
YER043C	0.008031207	0.003560996	0.004776355	0.005653805	0.00738791	0.006188607	0.006604228	0.001649436
YOL052C	0	0	0	0	0	0	0	0
YNR058W	0	0	0	0	0	0	0	0
YJL005W	0	0	0	0	0	0	0	0
YDL166C	0.003224547	0.01242764	0.008956268	0.004674087	0.002961528	0.003628213	0.002641111	0.000615282
YDR226W	0	0	0	0	0	0	0	0
YER170W	0	0	0	0	0	0	0	0
YLR359W	0.001581645	0.000657147	0.0009085	0.001089968	0.001448603	0.001200572	0.001286528	0.000261809
YNL220W	0.001071453	0.000427437	0.000602533	0.000728946	0.000978775	0.000805994	0.000865871	0.000152041
YKL001C	0.000282224	7.21e-05	0.000129224	0.000170466	0.000251985	0.00019561	0.000215147	0
YGR247W	0	0	0	0	0	0	0	0
YFL030W	0	0.003286136	0.000200818	0.00042896	0	0.000534445	0	0
YOR335C	0.000435571	0.000141136	0.000221187	0.000278981	0.0003932	0.000314207	0.000341582	1.52e-05
YGR177C	0	0	0	0	0	0	0	0
YOR377W	0	0	0	0	0	0	0	0
YMR303C	0	0	0.009531956	0	0	0	0	0
YDR368W	0	0	0	0	0	0	0	0
YHR104W	0	0	0	0	0	0	0	0.410626468
YGL256W	0	0	0	0	0	0	0	0
YMR083W	0	0	0	0	0	0	0	0
YBR145W	0	0	0	0	0	0	0	0
YDL168W	0	0	0	0	0	0	0	0
YOL086C	0.00317316	0	0	0	0.001022123	0	0	0
YCR105W	0	0	0	0	0	0	0	0
YMR318C	0	0	0	0	0	0	0	0
YMR110C	0	0	0	0	0	0	0	0
YMR169C	0	0	0	0	0	0	0	0
YMR170C	0	0	0	0	0	0	0	0
YPL061W	0.003010324	0	0.016134665	0	0.002764254	0	0.002464483	0.000569192
YOR374W	0	0	0.006918124	0.004384833	0	0.002437666	0	0
YER073W	0	0	0.015266676	0.009719827	0	0.005456368	0	0
YDR481C	0	0	0	0	0	0	0	0
YIR029W	0	0	0	0	0	0	0	0
YIR027C	0	0	0	0	0	0	0	0
YBR208C	0	0	0	0	0	0	0	0
YBR199W	0	0	0	0	0	0	0	0
YBR205W	0	0	0	0	0	0	0	0
YDR483W	0	0	0	0	0	0	0	0
YJL139C	0	0	0	0	0	0	0	0
YKR061W	0	0	0	0	0	0	0	0
YNL029C	0	0	0	0	0	0	0	0
YOR099W	0	0	0	0	0	0	0	0
YPL053C	0	0	0	0	0	0	0	0
YPR026W	0	0	0	0	0	0	0	0
YBR001C	0	0	0	0	0	0	0	0
YDR001C	0	0	0	0	0	0	0	0
YBR126C	0	0	0	0	0	0	0	0
YDR074W	7.1e-05	0	2.53e-06	2.1e-05	5.74e-05	3.22e-05	4.1e-05	0
YML100W	0	0	0	0	0	0	0	0
YMR261C	9.73e-05	0	1.83e-05	3.96e-05	8.17e-05	5.26e-05	6.27e-05	0
YBR299W	0	0	0	0	0	0	0	0
YGR287C	0	0	0	0	0	0	0	0
YGR292W	0	0	0	0	0	0	0	0
YIL172C	0	0	0	0	0	0	0	0
YJL216C	0	0	0	0	0	0	0	0
YJL221C	0	0	0	0	0	0	0	0
YDR242W	0	0	0	0	0	0	0	0
YMR293C	0	0	0	0	0	0	0	0
YDR354W	0.000415705	0.000132192	0.000209273	0.00026492	0.000374905	0.000298842	0.000325202	1.1e-05
YER090W	0.003437867	0.001492894	0.002021694	0.002403469	0.003157972	0.00263616	0.002816995	0.000661178
YKL211C	0.003407741	0.00147933	0.002003627	0.002382151	0.003130229	0.00261286	0.002792156	0.000654696
YDR305C	0	0	0	0	0	0	0	0
YPL111W	0	0	0	0	0	0	0	0
YHR018C	0	0	0	0	0	0	0	0
YOL058W	0.00045636	0.000150496	0.000233655	0.000293688	0.000412344	0.000330285	0.000358722	1.97e-05
YDR341C	0.000694425	0.000257684	0.000376425	0.000462148	0.000631575	0.000514403	0.000555009	7.09e-05
YHR091C	0	0	0	0	0	0	0	0
YGR124W	0	0	0	0	0	0	0	0
YPR145W	0.004808913	0.002110194	0.002843922	0.003373648	0.004420548	0.003696515	0.00394743	0.000956159
YHR019C	0.000697239	0.00025895	0.000378112	0.00046414	0.000634166	0.000516579	0.000557329	7.15e-05
YCR024C	0	0	0	0	0	0	0	0
YJL130C	0	0	0	0	0	0	0	0
YER052C	4.17e-05	0	0	0	3.05e-05	9.56e-06	1.68e-05	0
YLR027C	2.89e-05	0.00033166	0.00047496	0	1.87e-05	0	6.3e-06	0
YKL106W	0	0.000237596	0.000349669	0	0	1.21e-05	0	0
YDR158W	1.53e-05	0	0	0	6.18e-06	0	0	0
YLL018C	0.003489572	0.001516173	0.002052701	0.002440052	0.003205586	0.002676147	0.002859626	0.000672302
YPL104W	0	0	0	0	0	0	0	0
YDR530C	0	0	0	0	0	0	0	0
YCL050C	0	0	0	0	0	0	0	0
YER055C	0.000908444	0.000354044	0.000504774	0.000613593	0.000828662	0.000679923	0.000731469	0.000116969
Q0080	0	0.003885506	0.004186118	0.002952983	0.002130653	0.00245529	0.002043064	0.000689469
Q0085	3.12e-05	0.019819454	0.021321932	0.01515869	0.011048668	0.012671199	0.010610899	0.003824155
Q0130	0.000249768	0.053018136	0.057024865	0.040589218	0.029629138	0.033955876	0.028461754	0.010421501
YBL099W	0	0.012244403	0.013175504	0.009356069	0.006809029	0.007814536	0.006537737	0.002345226
YBR039W	5.48e-05	0.023414359	0.025187999	0.017912443	0.013060671	0.014976025	0.012543897	0.004557772
YDL004W	0	0.011551009	0.012429809	0.008824917	0.006420946	0.007369973	0.006164893	0.002207877
YDR298C	2.84e-06	0.015517226	0.01669519	0.011863111	0.008640781	0.009912874	0.008297562	0.002971969
YDR322C-A	0	0.007344548	0.007906065	0.005602685	0.004066642	0.004673033	0.003903034	0.00137465
YDR377W	0	0.007643488	0.008227553	0.005831679	0.004233955	0.004864696	0.004063777	0.001433865
YJR121W	0	0.011440994	0.012311495	0.008740643	0.006359372	0.007299437	0.006105736	0.002186085
YKL016C	0	0.013460353	0.014483171	0.010287506	0.00748958	0.008594131	0.007191565	0.002564542
YLR295C	0	0.009570958	0.010300407	0.00730816	0.005312737	0.00610048	0.005100199	0.001815664
YML081C-A	0	0.00447796	0.004823259	0.003406819	0.002462243	0.002835138	0.002361634	0.000806825
YPL078C	2.14e-05	0.018331226	0.019721447	0.014018683	0.010215732	0.011717039	0.00981067	0.003529367
YPL271W	0	0.00451548	0.004863608	0.00343556	0.002483243	0.002859194	0.002381809	0.000814257
YPR020W	0	0.00874485	0.009411987	0.006675344	0.004850374	0.005570826	0.004655992	0.001652026
YOL077W-A	0	0.005057066	0.005446045	0.003850427	0.002786363	0.003206429	0.002673027	0.000921537
YCR024C-A	0	0	0	0	0	0	0	0
YEL017C-A	0	0	0	0	0	0	0	0
YGL008C	0	0	0	0	0	0	0	0
YPL036W	0	0	0	0	0	0	0	0
YER005W	0	0	0	0	0	0	0	0
YBR110W	0	0	0	0	0	0	0	0
YGR286C	0	0	0	0	0	0	0	0
YNL280C	0.026801809	0.012012151	0.016033128	0.018936154	0.024673449	0.020705544	0.022080629	0.00566632
YMR015C	0	0	0	0	0	0	0	0
YGL001C	0	0	0	0	0	0	0	0
YLR100W	0.003645382	0.001586326	0.002146142	0.002550311	0.003349069	0.00279665	0.002988092	0.000705825
YGR060W	0	0	0	0	0	0	0	0
YLR056W	0	0	0	0	0	0	0	0
YMR202W	0	0	0	0	0	0	0	0
YGL012W	0.002692248	0.001157186	0.001574539	0.00187585	0.002471342	0.002059504	0.002202228	0.000500757
YDL090C	0	0	0	0	0	0	0	0
YKL019W	0	0	0	0	0	0	0	0
YJR109C	0	0	0	0	0	0	0	0
YOR303W	0	0	0	0	0	0	0	0
YAR035W	0	0.005582352	0.002431868	0.001367036	0	0	0	0
YER024W	0	0	0	0	0	0	0	0
YML042W	0	0.005592744	0.002436499	0.001369715	0	0	0	0
YGR088W	0	0	0	0	0	0	0	0
YDR256C	0	0	0	0	0	0	0	0
YDR297W	0	0	0	0	0	0	0	0
YMR272C	0	0	0	0	0	0	0	0
YHL003C	0	0	0	0	0	0	0	0
YMR298W	0	0	0	0	0	0	0	0
YKL008C	0	0	0	0	0	0	0	0
YLR307W	0	0	0	0	0	0	0	0
YLR308W	0	0	0	0	0	0	0	0
YBR023C	0	0	0	0	0	0	0	0
YBR038W	0	0	0	0	0	0	0	0
YNL192W	0	0	0	0	0	0	0	0
YLR133W	0	0	0	0	0	0	0	0
YGR202C	0	0	0	0	0	0	0	0
YPR060C	0	0	0	0	0	0	0	0
YGL148W	0.015690694	0.007009575	0.009369787	0.011073786	0.014441412	0.012112368	0.012919504	0.003297361
YLR304C	0.00144497	0.022272416	0.009695106	0.007981433	0.001322741	0.005920462	0.001173846	0.000232405
YBR002C	0	0	0	0	0	0	0	0
YMR101C	0	0	0	0	0	0	0	0
YNR001C	0.000389678	0.00699084	0.003004542	0.002461397	0.000350938	0.00180818	0.000303746	5.36e-06
YCR005C	0	0	0	0	0	0	0	0
YDR044W	0	0	0	0	0	0	0	0
YBL039C	0	0	0	0	0	0	0	0
YJR103W	0.000103279	0	2.19e-05	4.38e-05	8.72e-05	5.72e-05	6.76e-05	0
YFR055W	0	0	0	0	0	0	0	0
YGL184C	0	0	0	0	0	0	0	0
YGR155W	0	0	0	0	0	0	0	0
YAL012W	0	0	0	0	0	0	0	0
YJR130C	0	0	0	0	0	0	0	0
YLR303W	0	0	0	0	0	0	0	0
YNL247W	0	0	0	0	0	0	0	0
YLR245C	0	0	0	0	0	0	0	0
YNR012W	0	0	0	0	0	0	0	0
YHR007C	0.000514585	0.000176712	0.000268573	0.000334893	0.000465962	0.000375315	0.000406729	3.22e-05
YHR042W	0.000677051	0.000249861	0.000366006	0.000449854	0.000615575	0.000500966	0.000540684	6.72e-05
YPR062W	0	0	0	0	0	0	0	0
YML086C	0	0	0	0	0	0	0	0
YMR041C	0	0	0	0	0	0	0	0
YBR149W	0	0	0	0	0	0	0	0
YKL060C	0	0.001304953	0.001771361	0.002108091	0	0	0	0
YDL246C	0	0	0	0	0.00501675	0	0	0
YJR159W	0	0	0	0	0	0	0	0
YHR144C	0	0	0	0	0	0	0	0
YDR454C	0	0	0	0	0	0	0	0
YHR068W	0	0	0	0	0	0	0	0
YCR036W	0	0	0	0	0	0	0.073586496	0
YDR196C	0	0	0	0	0	0	0	0
YNR057C	0	0	0	0	0	0	0	0
YPL087W	0	0	0	0	0	0	0	0
YOR236W	0	0	0	0	0	0	0	0
YMR113W	0	0	0	0	0	0	0	0
YDL100C	0	0	0	0	0	0	0	0
YLR420W	0.001677488	0.000700299	0.000965977	0.001157784	0.001536863	0.001274696	0.001365551	0.00028243
YJR016C	0.002312072	0.000986015	0.001346544	0.00160683	0.002121243	0.001765479	0.00188877	0.000418962
YFL053W	0	0	0	0	0	0	0	0
YML070W	0	0	0	0	0	0	0	0
YJL167W	0.004966158	0.002180992	0.002938223	0.003484914	0.004565353	0.003818127	0.00407708	0.000989991
YKL152C	0	0	0	0	0	0	0	0
YLR172C	0	0	0	0	0	0	0	0
YMR013C	0	0	0	0	0	0	0	0
YPR183W	0.000187867	2.96e-05	7.26e-05	0.000103701	0.000165093	0.000122635	0.000137349	0
YAL023C	0	0	0	0	0	0	0	0
YDL095W	0	0	0	0	0	0	0	0
YDL093W	0.000703768	0.00026189	0.000382028	0.00046876	0.000640179	0.000521628	0.000562712	7.29e-05
YJR143C	0	0	0	0	0	0	0	0
YOR321W	0	0	0	0	0	0	0	0
YJR057W	0	0	0	0	0	0	0	0
YJR069C	0	0	0	0	0	0	0	0
YBR252W	0	0	0	0	0	0	0	0
YJR153W	0	0	0	0	0	0	0	0
YPL281C	0	0	0	0	0	0	0	0
YGR254W	0.018060866	0.000402415	0.000569204	0.002430005	0.007217479	0.004114859	0.005881117	0.000306259
YHR174W	0	0	0	0	0	0	0	0
YMR323W	0	0	0	0	0	0	0	0
YOR393W	0	0	0	0	0	0	0	0
YDR147W	0	0	0	0	0	0	0	0
YOR126C	0	0	0	0	0	0	0	0
YDR261C	0	0	0	0	0	0	0	0
YGR282C	0	0	0	0	0	0	0	0
YLR300W	0	0	0	0	0	0	0	0
YNR067C	0	0	0	0	0	0	0	0
YOR190W	0	0	0	0	0	0	0	0
YPL069C	0	0	0	0	0	0	0	0
YER015W	0	0	0	0	0	0	0	0
YOR176W	0	0	0	0	0	0	0	0
YKR066C	0	0	0	0	0	0	0	0
Q0045	0.002197795	0.009977812	0.011057068	0.008619317	0.005832519	0.007174912	0.005614314	0.00197311
Q0250	0.001016388	0.004796303	0.005320656	0.004136278	0.00278232	0.00343452	0.002676305	0.000907224
Q0275	0.001086438	0.005103535	0.005660791	0.004402095	0.002963178	0.003656303	0.002850511	0.000970425
YDL067C	0.000172117	0.001093461	0.00122127	0.000932579	0.000602559	0.000761531	0.000576718	0.000145509
YGL187C	0.000569921	0.002838164	0.003152816	0.0024421	0.001629618	0.002020988	0.001566001	0.000504414
YGL191W	0.000487017	0.00247456	0.002750273	0.00212751	0.001415574	0.001758512	0.00135983	0.000429617
YHR051W	0.000577698	0.002872272	0.003190577	0.00247161	0.001649696	0.00204561	0.001585341	0.000511431
YIL111W	0.000572035	0.002847436	0.003163081	0.002450119	0.001635076	0.002027682	0.001571258	0.000506322
YLR038C	0.000282504	0.001577599	0.001757255	0.001351455	0.000887557	0.001111018	0.000851234	0.000245102
YLR395C	0.000596131	0.00295312	0.003280083	0.002541556	0.001697289	0.002103973	0.001631183	0.000528062
YMR256C	0.000170912	0.001088177	0.00121542	0.000928011	0.000599448	0.000757716	0.000573722	0.000144422
YHR116W	0	0	0	0	0	0	0	0
YDR231C	0	0	0	0	0	0	0	0
YGR062C	0	0	0	0	0	0	0	0
YJL003W	0	0	0	0	0	0	0	0
YPL132W	0	0	0	0	0	0	0	0
YLL018C-A	0	0	0	0	0	0	0	0
Q0105	0.005277938	0.023487131	0.026013169	0.020307537	0.013784995	0.016926879	0.013274283	0.004752066
YBL045C	0.006087514	0.027037924	0.029944242	0.023379664	0.015875212	0.019490076	0.015287617	0.005482477
YDR529C	0.001694225	0.007769209	0.008611938	0.006708437	0.004532382	0.005580582	0.004361997	0.001518781
YEL024W	0.002778312	0.012523902	0.013875828	0.010822189	0.007331322	0.009012862	0.007057988	0.002496862
YFR033C	0.002025865	0.009223745	0.010222245	0.0079669	0.005388624	0.006630572	0.005186745	0.001817992
YGR183C	0.000820994	0.003939336	0.004371915	0.003394834	0.002277847	0.002815897	0.002190387	0.000730937
YHR001W-A	0.000958552	0.004542644	0.005039832	0.003916816	0.002632998	0.00325141	0.002532475	0.000855044
YJL166W	0.001251935	0.005829383	0.006464371	0.005030101	0.003390464	0.004180273	0.00326208	0.001119739
YOR065W	0.004095145	0.018299442	0.020269898	0.015819169	0.010731189	0.013182052	0.010332803	0.003684931
YPR191W	0.00488645	0.021770071	0.024112217	0.018821944	0.012774225	0.015687389	0.012300691	0.004398859
YDL045C	0	0	0	0	0	0	0	0
YLR011W	0	0	0	0	0	0	0	0
YOR388C	0	0.013193405	0	0.000631962	0	0.000936897	0	0.003121848
YGR204W	0	0.003229669	0.000311751	0	0	0	0	0.000735935
YBR084W	0	9.24e-05	0	9e-05	0	0.000172364	0	0
YLR345W	0	0	0	0	0	0	0	0
YJL155C	0	0	0	0	0	0	0	0
YLR377C	0	0.000532652	0.000742676	0.000894302	0	0	0	0
YPL262W	0	0.000844369	0.000295673	0.000217038	0	0.000125303	0	0
YKL216W	0.000347694	0.000101571	0.000168487	0.000216798	0.000312275	0.000246243	0.000269127	0
YEL047C	0	0	0	0.053595691	0	0	0	0
YLR299W	0	0	0	0	0	0	0	0
YBR020W	0	0	0	0	0	0.034305291	0	0
YBR018C	0	0	0	0	0	0.015489162	0	0
YJL101C	0	0	0	0	0	0	0	0
YPR184W	0	0	0	0	0	0	0	0
YIL099W	0	0	0	0	0	0	0	0
YNL241C	0.000303801	0	0	0	0.000311989	0.000318421	0.00026887	8.43e-05
YBR196C	0.00370279	0	0	0	0.000433765	0.000565294	0.000377901	0.000111379
YDR300C	0.000758562	0.000286561	0.000414889	0.000507537	0.000690638	0.000564006	0.00060789	8.47e-05
YMR250W	0	0.00293547	0	0.004589963	0	0	0	0
YDL215C	0	0	0	0	0	0	0	0
YAL062W	0	0	0	0	0	0	0	0
YOR375C	0.005665503	0.011998621	0.003784214	0.004988746	0.005209369	0.005625375	0.004653694	0.002249464
YDL171C	0	0	0	0	0	0	0	0
YOR323C	1.74e-05	0	0	0	8.09e-06	0	0	0
YFL060C	0	0	0	0	0	0	0	0
YNL334C	0	0	0	0	0	0	0	0
YPR035W	0.000647115	0.000236382	0.000348052	0.000428671	0.000588007	0.000477813	0.000516001	6.07e-05
YMR084W	0	0	0	0	0	0	0	0
YKL104C	0	0	0	0	0	0	0	0
YOR168W	0.00380429	0.001657872	0.002241441	0.002662757	0.003495405	0.002919548	0.003119113	0.000740014
YGL245W	0.022241084	0.009958775	0.013298066	0.015708933	0.020473557	0.01717835	0.018320311	0.004706649
YOL033W	0	0	0	0	0	0	0	0
YCL035C	0	0	0	0	0	0	0	0
YPL091W	0	0	0	0	0	0	0	0
YDR098C	0	0	0	0	0	0	0	0
YDR513W	0	0	0	0	0	0	0	0
YER174C	0	0	0	0	0	0	0	0
YPL059W	0	0	0	0	0	0	0	0
YNL229C	0	0	0	0	0	0	0	0
YBR244W	0	0	0	0	0	0	0	0
YIR037W	0	0	0	0	0	0	0	0
YKL026C	0	0	0	0	0	0	0	0
YOL049W	0	0	0	0	0	0	0	0
YGR192C	0	0	0	0	0	0	0	0
YJL052W	0.110887987	0.002942803	0.003952937	0.015222758	0.045130055	0.025427125	0.03694068	0.004044202
YJR009C	0	0	0	0	0	0	0	0
YOR120W	0	0	0	0	0	0	0	0
YHL032C	0	0	0	0.000679543	0	0	0	0
YER062C	0	0	0	0	0	0	0	0
YIL053W	0	0	0	0	0	0	0	0
YIL155C	0	0	0	0.035254206	0	0	0	0
YDL022W	0	0	0	0	0	0	0	0
YOL059W	0	0	0	0	0	0	0	0
YPL110C	0	0	0	0	0	0	0	0
YDR408C	0.000207346	3.84e-05	8.43e-05	0.000117485	0.000183031	0.000137699	0.000153409	0
YAL044C	0	1.69e-05	0	0	0	0	0	0
YDR019C	0	0.000176633	0	0	0	0	0	0
YFL018C	0.001953697	0.000236	0	0.001803669	0.001791221	0.004292355	0.001593319	0.000381066
YMR189W	0	0.00061198	0	0	0	0	0	0
YLR058C	0.001568159	0.033159945	0.000822246	0.001080421	0.001436185	0.001190142	0.001275409	0.008566083
YBR263W	0	0.032867548	0.001471305	0.001844067	0	0.002024763	0	0.003958387
YDR148C	0	0	0	0	0	0	0	0
YIL125W	0	0	0	0	0	0	0	0
YFR015C	0	0	0	0	0	0	0	0
YJL137C	0	0	0	0	0	2.31e-05	0	0
YKR058W	0	0	0	0	0	0	0	0
YLR258W	0	0	0	0	0	0.000121206	0	0
YPR160W	0	0	0	0	0	0	0	0
YBR121C	0	0	0	0	0	0	0	0
YPR081C	0.001550895	0.000643302	0.000890059	0.001068209	0.001420287	0.001176791	0.001261175	0.000255193
YMR217W	0.006544421	0.002891588	0.003884719	0.004601723	0.006018751	0.005038741	0.005378366	0.001329554
YMR281W	0	0	0	0	0	0	0	0
YCL052C	0	0	0	0	0	0	0	0
YJR013W	0	0	0	0	0	0	0	0
YKL165C	0	0	0	0	0	0	0	0
YBR004C	0	0	0	0	0	0	0	0
YGL142C	0	0	0	0	0	0	0	0
YDR302W	0	0	0	0	0	0	0	0
YLL031C	0	0	0	0	0	0	0	0
YGR267C	0	0	0	0	0	0	0	0
YBL033C	0	0	0	0	0	0	0	0
YDL238C	0	0	0	0	0	0	0	0
YDR399W	0	0	0	0	0	0	0	0
YER141W	0	0	0	0	0	0	0	0
YPL172C	0	0	0	0	0	0	0	0
YLR446W	0	0	0	0	0	0	0	0
YFR053C	0	0	0	0	0.004141018	0	0	0
YGL253W	0	0	0	0	0	0	0	0
YCL040W	0	0	0	0	0	0	0	0
YCL030C	0.000116672	0	2.99e-05	5.33e-05	9.95e-05	6.76e-05	7.86e-05	0
YFR025C	0	0	0	0	0	0	0	0
YIL116W	0	0	0	0	0	0	0	0
YPR033C	2.65e-05	0	0	0	1.65e-05	0	4.28e-06	0
YBR034C	0	0	0	0	0	0	0	0
YJL200C	0	0	0	0	0	0	0	0
YDL131W	0.028589973	0.012817233	0.017105485	0.020201477	0.026320137	0.02208848	0.023554968	0.006072572
YDL182W	0	0	0	0	0	0	0	0
YLL062C	0	0	0	0	0	0	0	0
YPL273W	0	0	0	0	0	0	0	0
YIL094C	0.000758575	0.000286567	0.000414896	0.000507546	0.00069065	0.000564016	0.000607901	8.47e-05
YJR139C	0.000843619	0.000324857	0.000465898	0.000567725	0.000768966	0.000629788	0.00067802	0.000103022
YHR025W	0.000425085	0.000136415	0.000214899	0.000271562	0.000383544	0.000306097	0.000332936	1.3e-05
YNL277W	0	0	0	0	0	0	0	0
YDR453C	0	0	0	0	0	0	0	0
YGR209C	0.000133456	5.11e-06	4e-05	6.52e-05	0.000114987	8.06e-05	9.25e-05	0
YLR043C	0	0	0	0	0	0	0	0
YBL064C	0	0	0	0	0	0	0	0
YCR083W	0	0	0	0	0	0	0	0
YLR109W	0	0	0	0	0	0	0	0
YDR272W	0	0	0	0	0	0	0	0
YOR040W	0	0	0	0	0	0	0	0
YNR041C	0	0	0	0	0	0	0	0
YPL214C	0	0	0	0	0	0	0	0
YDL205C	0	0	0	0	0	0	0	0
