Var1	D_glucose	acetate	ethanol	glycerol	D_glucitol	D_galactose	D_ribose	D_xylose
YDL174C	0	0	0	0	0	0	0	0
YEL039C	0	0	0	0	0	0	0	0
YJR048W	0	0	0	0	0	0	0	0
YEL071W	0	0	0	0	0	0	0	0
YDL178W	0	0	0	0	0	0	0	0
YAL060W	0	0	0	0	0	0	0	0
YML054C	0	0	0	0	0	0	0	0
YGR032W	0	0	0	0	0	0	0	0
YMR306W	0.010913402	0.004858668	0.006504825	0.007693297	0.01004208	0.008417666	0.008980611	0.002269537
YLR342W	0	0	0	0	0	0	0	0
YCR034W	0	0	0	0	0	0	0	0
YIL020C	0	0	0	0	0	0	0	0
YHR037W	0	0	0	0	0	0	0	0
YEL038W	0	0	0	0	0	0	0	0
YMR009W	0	0	0	0	0	0	0	0
YOL066C	0.000583355	0.000207675	0.000309815	0.000383553	0.000529292	0.000428502	0.000463431	4.7e-05
YBR153W	0.040949929	0.018381994	0.024517675	0.028947469	0.037702187	0.031647433	0.033745716	0.008731698
YCL009C	0	0	0	0	0	0	0	0
YMR108W	0.007688414	0.003406658	0.00457078	0.005411235	0.007072238	0.005923494	0.006321594	0.001575684
YNL256W	0	0	0	0	0	0	0	0
YER152C	0	0	0	0	0	0	0	0
YGL202W	0	0.000414166	0	6.7e-06	0	2.49e-05	0	0
YJL060W	0	0	0	0	0	0	0	0
YHR063C	0	0	0	0	0	0	0	0
YDR035W	0	0	0	0	0	0	0	0
YBR249C	9.6e-06	0	0	0	0	0	0	0
YDR204W	0	0	0	0	0	0	0	0
YGL119W	0	0	0	0	0	0	0	0
YGR255C	0	0	0	0	0	0	0	0
YLR201C	0	0	0	0	0	0	0	0
YML110C	0	0	0	0	0	0	0	0
YOL096C	0	0	0	0	0	0	0	0
YOR125C	0	0	0	0	0	0	0	0
YGL009C	0.006882947	0.003044006	0.004087736	0.004841275	0.006330496	0.005300554	0.005657483	0.001402388
YNL104C	0.001771438	0	0	0.001224269	0.001623381	0.001347356	0.001443013	0.000302643
YOR108W	0	0.000727712	0.00100249	0	0	0	0	0
YHR208W	0	0	0	0	0	0	0	0
YJR148W	0	0	0	0	0	0	0	0
