Var1	D_glucose	acetate	ethanol	glycerol	D_glucitol	D_galactose	D_ribose	D_xylose
YDL174C	0	0	0	0	0	0	0	0
YEL039C	0	0	0	0	0	0	0	0
YJR048W	0	0	0	0	0	0	0	0
YEL071W	0	0	0	0	0	0	0	0
YDL178W	0	0	0	0	0	0	0	0
YAL060W	0	0	0	0	0	0	0	0
YML054C	0	0	0	0	0	0	0	0
YGR032W	0	0	0	0	0	0	0	0
YMR306W	0.011823406	0.005528844	0.007490933	0.008749573	0.010845145	0.009343746	0.0099198	0.0029002
YLR342W	0	0	0	0	0	0	0	0
YCR034W	0	0	0	0	0	0	0	0
YIL020C	0	0	0	0	0	0	0	0
YHR037W	0	0.003020786	0.001553188	0	0	0	0	0.008146186
YEL038W	0	0	0	0	0	0	0	0
YMR009W	0	0	0	0	0	0	0	0
YOL066C	0.000639818	0.000249362	0.000371	0.000449096	0.00057912	0.000485962	0.000521705	8.62e-05
YBR153W	0.044341874	0.020886194	0.028193199	0.032884561	0.04069551	0.035099246	0.037246405	0.011082314
YCL009C	0	0	0	0	0	0	0	0
YMR108W	0.003946317	0	0.001074798	0.001539898	0.003241412	0.002029487	0.002426531	0
YNL256W	0	0	0	0	0	0	0	0
YER152C	0	0	0	0	0	0	0	0
YGL202W	0	0.000374503	0	8.17e-05	0	0	0	0
YJL060W	0	0	0	0	0	0	0	0
YHR063C	0	0	0	0	0	0	0	0
YDR035W	0	0	0	0	0	0	0	0
YBR249C	0	0	0	0	0	0	0	0
YDR204W	0	0	0	0	0	0	0	0
YGL119W	0	0	0	0	0	0	0	0
YGR255C	0	0	0	0	0	0	0	0
YLR201C	0	0	0	0	0	0	0	0
YML110C	0	0	0	0	0	0	0	0
YOL096C	0	0	0	0	0	0	0	0
YOR125C	0	0	0	0	0	0	0	0
YGL009C	0.003971734	0.000141495	0.001326182	0.001831399	0.003341056	0.002269667	0.002626693	0
YNL104C	0.000991229	0	0	0.000417618	0.000822207	0.000535074	0.000630757	0
YOR108W	0	0	0.000275466	0	0	0	0	0
YHR208W	0	0	0	0	0	0	0	0
YJR148W	0	0	0	0	0	0	0	0
YHR137W	0	0.000445316	0	0.000140087	0	0	0	0
