ecnumber	sub	organism	kcat	sd
EC1.1.1.1	*	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	4.2	*
EC1.1.1.1	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	3.3	*
EC1.1.1.1	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	64	*
EC1.1.1.1	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	2.69	*
EC1.1.1.1	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	32.5	*
EC1.1.1.100	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	20.8	*
EC1.1.1.101	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	0.0296	*
EC1.1.1.101	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.00546	*
EC1.1.1.102	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	25	*
EC1.1.1.102	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	0.000121	*
EC1.1.1.103	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.055	*
EC1.1.1.103	*	capra hircus//eukaryotes;animals;vertebrates;mammals//chx	8.45	*
EC1.1.1.103	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.062	*
EC1.1.1.103	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	380	*
EC1.1.1.104	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	5.21	*
EC1.1.1.112	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.74	*
EC1.1.1.112	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.118	*
EC1.1.1.112	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	7.77	*
EC1.1.1.116	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.605	*
EC1.1.1.122	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	1.03	*
EC1.1.1.122	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	433	*
EC1.1.1.14	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	52	*
EC1.1.1.14	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	7.62	*
EC1.1.1.14	*	ovis aries//eukaryotes;animals;vertebrates;mammals//oas	14.4	*
EC1.1.1.14	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	7.47	*
EC1.1.1.141	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	70	*
EC1.1.1.141	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	24	*
EC1.1.1.141	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	25	*
EC1.1.1.141	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	13.2	*
EC1.1.1.145	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	45	*
EC1.1.1.145	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.155	*
EC1.1.1.145	*	ovis aries//eukaryotes;animals;vertebrates;mammals//oas	0.19	*
EC1.1.1.145	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	2.88	*
EC1.1.1.146	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.00017	*
EC1.1.1.146	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	91.36	*
EC1.1.1.146	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	0.00018	*
EC1.1.1.148	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	0.18	*
EC1.1.1.149	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.115	*
EC1.1.1.149	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	1.3	*
EC1.1.1.149	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	8.318	*
EC1.1.1.149	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.081	*
EC1.1.1.153	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	9.76	*
EC1.1.1.153	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	1.8	*
EC1.1.1.153	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	18	*
EC1.1.1.162	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	123	*
EC1.1.1.179	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	7.6	*
EC1.1.1.181	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	0.23	*
EC1.1.1.184	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	1533	*
EC1.1.1.184	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.5	*
EC1.1.1.188	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.41	*
EC1.1.1.188	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	2.4	*
EC1.1.1.188	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	3.6	*
EC1.1.1.188	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	0.0015	*
