ecnumber	sub	organism	kcat	sd
EC1.1.1.188	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.062	*
EC1.1.1.189	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.034	*
EC1.1.1.189	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	3.25	*
EC1.1.1.189	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.02	*
EC1.1.1.19	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.0025	*
EC1.1.1.19	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	1.339	*
EC1.1.1.19	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.0025	*
EC1.1.1.19	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	5.45	*
EC1.1.1.196	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.0212	*
EC1.1.1.197	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.09	*
EC1.1.1.197	*	macaca fascicularis//eukaryotes;animals;vertebrates;mammals//mcf	0.0243	*
EC1.1.1.197	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	7.5	*
EC1.1.1.201	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	0.276	*
EC1.1.1.205	*	cricetulus griseus//eukaryotes;animals;vertebrates;mammals//cge	1.08	*
EC1.1.1.205	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	1.3	*
EC1.1.1.205	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	0.236	*
EC1.1.1.205	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	1.7	*
EC1.1.1.205	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.57	*
EC1.1.1.209	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.0253	*
EC1.1.1.209	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	0.27	*
EC1.1.1.21	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	333.3	*
EC1.1.1.21	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	13.6	*
EC1.1.1.21	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	19.2	*
EC1.1.1.210	*	ovis aries//eukaryotes;animals;vertebrates;mammals//oas	0.0096	*
EC1.1.1.211	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	30.4	*
EC1.1.1.213	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	9540	*
EC1.1.1.218	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	0.43	*
EC1.1.1.22	*	capra hircus//eukaryotes;animals;vertebrates;mammals//chx	342.9	*
EC1.1.1.22	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.69	*
EC1.1.1.220	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	1.59E-05	*
EC1.1.1.220	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	49300	*
EC1.1.1.225	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.008	*
EC1.1.1.230	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	2.00E-05	*
EC1.1.1.231	*	macaca fascicularis//eukaryotes;animals;vertebrates;mammals//mcf	24.3	*
EC1.1.1.231	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	19.9	*
EC1.1.1.239	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.00168	*
EC1.1.1.239	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.01794	*
EC1.1.1.26	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.145	*
EC1.1.1.263	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	3.01	*
EC1.1.1.263	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	1.16	*
EC1.1.1.27	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	4034	*
EC1.1.1.27	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	80	*
EC1.1.1.27	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	30	*
EC1.1.1.270	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.0432	*
EC1.1.1.270	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.0014	*
EC1.1.1.271	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.194	*
EC1.1.1.284	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	3.2	*
EC1.1.1.284	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.092	*
EC1.1.1.30	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	145	*
EC1.1.1.30	*	camelus dromedarius//eukaryotes;animals;vertebrates;mammals//cdk	0.09	*
EC1.1.1.30	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.8	*
EC1.1.1.30	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	91	*
EC1.1.1.300	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.63	*
EC1.1.1.31	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.0046	*
EC1.1.1.31	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	10.7	*
EC1.1.1.31	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	20.9	*
EC1.1.1.315	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	124000	*
EC1.1.1.32	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.63	*
EC1.1.1.33	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.573	*
EC1.1.1.34	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.03	*
EC1.1.1.35	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	6	*
EC1.1.1.35	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	1200	*
EC1.1.1.35	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	565	*
EC1.1.1.35	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	511	*
EC1.1.1.36	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.091	*
EC1.1.1.36	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	45.2	*
EC1.1.1.37	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	46.5	*
EC1.1.1.37	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	68	*
EC1.1.1.37	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	182	*
EC1.1.1.40	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	91.4	*
EC1.1.1.40	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	41	*
EC1.1.1.41	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	22	*
EC1.1.1.41	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	27	*
EC1.1.1.42	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	108.2	*
EC1.1.1.42	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	3	*
EC1.1.1.42	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	38.6	*
EC1.1.1.44	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	25.75	*
EC1.1.1.44	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	22	*
EC1.1.1.44	*	ovis aries//eukaryotes;animals;vertebrates;mammals//oas	92.3	*
EC1.1.1.44	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	32	*
EC1.1.1.44	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	1.89	*
EC1.1.1.45	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	6.71	*
EC1.1.1.47	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	33.6	*
EC1.1.1.47	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	3.57	*
EC1.1.1.49	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	2.221	*
EC1.1.1.49	*	camelus dromedarius//eukaryotes;animals;vertebrates;mammals//cdk	289.6	*
EC1.1.1.49	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	222.8	*
EC1.1.1.49	*	ovis aries//eukaryotes;animals;vertebrates;mammals//oas	27.69	*
EC1.1.1.49	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	480	*
EC1.1.1.49	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	201	*
EC1.1.1.50	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.15	*
EC1.1.1.50	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	76.1	*
EC1.1.1.50	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	6.1	*
EC1.1.1.50	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	2.2	*
EC1.1.1.51	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	2.5	*
EC1.1.1.53	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.167	*
EC1.1.1.62	*	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	10.7	*
EC1.1.1.62	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	7.2	*
EC1.1.1.62	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	2.48	*
EC1.1.1.62	*	ovis aries//eukaryotes;animals;vertebrates;mammals//oas	0.136	*
EC1.1.1.64	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.0033	*
EC1.1.1.64	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	67.7	*
EC1.1.1.7	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	0.3	*
EC1.1.1.72	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	5.75	*
EC1.1.1.75	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.001	*
EC1.1.1.78	*	capra hircus//eukaryotes;animals;vertebrates;mammals//chx	69.2	*
EC1.1.1.8	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	250	*
EC1.1.1.8	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	295	*
EC1.1.1.8	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	152.4	*
EC1.1.1.81	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	104.8	*
EC1.1.1.81	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.745	*
EC1.1.1.95	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	81.3	*
EC1.1.1.96	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	41.75	*
EC1.1.3.8	*	capra hircus//eukaryotes;animals;vertebrates;mammals//chx	2.05	*
EC1.1.3.8	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	100	*
EC1.1.5.3	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	2.9	*
EC1.1.99.1	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	6.3	*
EC1.1.99.24	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	0.0013	*
EC1.1.99.24	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.0513	*
EC1.1.99.6	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	7.4	*
EC1.10.2.1	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	6.5	*
EC1.10.2.1	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.0163	*
EC1.10.2.2	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	160	*
EC1.10.3.5	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	0.16	*
EC1.10.3.5	*	ovis aries//eukaryotes;animals;vertebrates;mammals//oas	0.24	*
EC1.10.3.5	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	1.141	*
EC1.10.5.1	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	242	*
EC1.11.1.12	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	7	*
EC1.11.1.12	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	336	*
EC1.11.1.12	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	146300	*
EC1.11.1.12	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	310.1	*
EC1.11.1.15	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	6.2	*
EC1.11.1.20	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	0.69	*
EC1.11.1.20	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.062	*
EC1.11.1.6	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	121000	*
EC1.11.1.6	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	273800	*
EC1.11.1.6	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	8	*
EC1.11.1.6	*	ovis aries//eukaryotes;animals;vertebrates;mammals//oas	1017	*
EC1.11.1.7	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	40.9	*
EC1.11.1.7	*	capra hircus//eukaryotes;animals;vertebrates;mammals//chx	5.3	*
EC1.11.1.7	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	2.05	*
EC1.11.1.8	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	464	*
EC1.11.1.8	*	capra hircus//eukaryotes;animals;vertebrates;mammals//chx	31	*
EC1.11.1.8	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	381	*
EC1.11.1.8	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	138	*
EC1.11.1.9	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	215	*
EC1.11.1.9	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	291	*
EC1.11.1.9	*	ovis aries//eukaryotes;animals;vertebrates;mammals//oas	1407	*
EC1.11.1.9	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	1852	*
EC1.13.11.11	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	2.67	*
EC1.13.11.11	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	2.85	*
EC1.13.11.11	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	3.08	*
EC1.13.11.19	*	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	3.24	*
EC1.13.11.19	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	9.10E-05	*
EC1.13.11.19	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	6.20E-05	*
EC1.13.11.19	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	2.8	*
EC1.13.11.20	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	1.4	*
EC1.13.11.27	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	2.8	*
EC1.13.11.27	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	51	*
EC1.13.11.31	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.7	*
EC1.13.11.31	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.3	*
EC1.13.11.31	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.34	*
EC1.13.11.31	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	51.8	*
EC1.13.11.33	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	2.125	*
EC1.13.11.33	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	93.5	*
EC1.13.11.34	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.006	*
EC1.13.11.34	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	1	*
EC1.13.11.5	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	28.3	*
EC1.13.11.52	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	4.7	*
EC1.13.11.52	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	104.9	*
EC1.13.11.52	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	234	*
EC1.13.11.52	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.38	*
EC1.13.11.6	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	140	*
EC1.13.11.6	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	6.8	*
EC1.13.11.6	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	7.5	*
EC1.13.11.63	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	1.97	*
EC1.13.11.63	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	0.51	*
EC1.13.11.63	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	3.50E-05	*
EC1.13.11.67	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	2.00E-05	*
EC1.13.11.67	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	2.00E-06	*
EC1.13.99.1	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	0.43	*
EC1.14.11.1	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.053	*
EC1.14.11.1	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	1.02	*
EC1.14.11.1	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.0274	*
EC1.14.11.1	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.0024	*
EC1.14.11.16	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	14	*
EC1.14.11.18	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	4.10E-05	*
EC1.14.11.18	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	1.80E-06	*
EC1.14.11.18	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.00026	*
EC1.14.11.2	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	2300	*
EC1.14.11.2	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	1.3	*
EC1.14.11.8	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.0586	*
EC1.14.11.B2	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.001	*
EC1.14.13.148	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.201	*
EC1.14.13.148	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	0.025	*
EC1.14.13.205	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	24.5	*
EC1.14.13.30	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	30	*
EC1.14.13.32	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.013	*
EC1.14.13.70	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.00756	*
EC1.14.13.70	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	8.40E-06	*
EC1.14.13.72	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.00356	*
EC1.14.13.8	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.00375	*
EC1.14.13.8	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	2.4	*
EC1.14.13.8	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	0.52	*
EC1.14.13.8	*	ovis aries//eukaryotes;animals;vertebrates;mammals//oas	0.0123	*
EC1.14.13.8	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.15	*
EC1.14.13.8	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	6.2	*
EC1.14.13.9	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	0.004	*
EC1.14.13.9	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	0.001	*
EC1.14.13.9	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	47	*
EC1.14.14.14	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	57	*
EC1.14.14.16	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.0452	*
EC1.14.14.16	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.00122	*
EC1.14.14.17	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	0.17	*
EC1.14.14.18	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.113	*
EC1.14.14.18	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.0705	*
EC1.14.14.18	*	oryctolagus cuniculus//eukaryotes;animals;vertebrates;mammals//ocu	0.138	*
EC1.14.14.18	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	12.7	*
EC1.14.14.18	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.000175	*
EC1.14.14.19	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.47	*
EC1.14.14.19	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	0.125	*
EC1.14.14.23	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.00294	*
EC1.14.14.23	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	156	*
EC1.14.14.24	*	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	6400	*
EC1.14.14.32	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	3.75E-05	*
EC1.14.14.32	*	sus scrofa//eukaryotes;animals;vertebrates;mammals//ssc	7.30E-06	*
EC1.14.14.47	*	bos taurus//eukaryotes;animals;vertebrates;mammals//bta	0.41	*
EC1.14.14.47	*	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	38	*
EC1.14.14.47	*	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	1.62	*
EC1.14.14.47	*	ovis aries//eukaryotes;animals;vertebrates;mammals//oas	0.6	*
