Rxn name	Formula	Gene-reaction association	LB	UB	Objective
r_0006	s_0188[c]  -> s_0803[c] + s_1360[c] 	KLMA_10462	  0.00	   Inf	  0.00
r_0007	s_0359[c] + s_0803[c] + s_1198[c]  -> s_0362[c] + 2 s_0794[c] + s_1203[c] 	KLMA_20673 or KLMA_50012 or KLMA_40404 or KLMA_10742 or KLMA_20672	 -0.00	   Inf	  0.00
r_0008	s_0361[m] + s_0807[m] + s_1200[m]  -> s_0365[m] + 2 s_0799[m] + s_1205[m] 	KLMA_20673 or KLMA_50012 or KLMA_40404 or KLMA_10742 or KLMA_20672	 -0.00	   Inf	  0.00
r_0009	s_0359[c] + s_0803[c] + s_1207[c]  -> s_0362[c] + 2 s_0794[c] + s_1212[c] 	KLMA_20673 or KLMA_50012 or KLMA_40404 or KLMA_10742 or KLMA_20672	 -0.00	   Inf	  0.00
r_0010	s_0361[m] + s_0807[m] + s_1210[m]  -> s_0365[m] + 2 s_0799[m] + s_1214[m] 	KLMA_20673 or KLMA_50012 or KLMA_40404 or KLMA_10742 or KLMA_20672	 -0.00	   Inf	  0.00
r_0011	s_0359[c] + s_0794[c] + s_1212[c]  -> s_0680[c] + s_1207[c] 	KLMA_40102 or KLMA_40220 or KLMA_80306 or KLMA_20158 or KLMA_80339 or KLMA_60425	 -0.00	   Inf	  0.00
r_0012	s_0361[m] + s_0799[m] + s_1214[m]  -> s_0682[m] + s_1210[m] 	KLMA_40102 or KLMA_40220 or KLMA_80306 or KLMA_20158 or KLMA_80339 or KLMA_60425	 -0.00	   Inf	  0.00
r_0015	s_0680[c] + s_1198[c]  -> s_0359[c] + s_0794[c] + s_1203[c] 	KLMA_40220	 -0.00	   Inf	  0.00
r_0016	s_0373[c] + s_0680[c]  -> s_0529[c] + s_0685[c] 	KLMA_30203	 -0.00	   Inf	  0.00
r_0018	s_5387[c] + 2 s_0794[c]  -> s_0359[c] + s_1475[c] 	KLMA_60075	 -0.00	   Inf	  0.00
r_0026	s_5088[c]  -> s_5065[c] 	KLMA_20332	  0.00	   Inf	  0.00
r_0056	s_5226[m] + s_0807[m]  -> s_5108[m] + s_0799[m] 	KLMA_70192 or KLMA_10331	 -0.00	   Inf	  0.00
r_0067	s_0335[c] + s_0803[c]  -> s_0340[c] + s_0794[c] 	KLMA_70192 or KLMA_10331	 -0.00	   Inf	  0.00
