Rxn name	Formula	Gene-reaction association	LB	UB	Objective
r_0005	s_0434[c] + s_1271[c]  -> s_0394[c] + s_0456[c] + s_1360[c] 	KLMA_30719	 -0.00	   Inf	  0.00
r_0006	s_0188[c]  -> s_0803[c] + s_1360[c] 	KLMA_10462	  0.00	   Inf	  0.00
r_0007	s_0359[c] + s_0803[c] + s_1198[c]  -> s_0362[c] + 2 s_0794[c] + s_1203[c] 	KLMA_20673 or KLMA_50012 or KLMA_40404 or KLMA_10742 or KLMA_20672	 -0.00	   Inf	  0.00
r_0008	s_0361[m] + s_0807[m] + s_1200[m]  -> s_0365[m] + 2 s_0799[m] + s_1205[m] 	KLMA_20673 or KLMA_50012 or KLMA_40404 or KLMA_10742 or KLMA_20672	 -0.00	   Inf	  0.00
r_0009	s_0359[c] + s_0803[c] + s_1207[c]  -> s_0362[c] + 2 s_0794[c] + s_1212[c] 	KLMA_20673 or KLMA_50012 or KLMA_40404 or KLMA_10742 or KLMA_20672	 -0.00	   Inf	  0.00
r_0010	s_0361[m] + s_0807[m] + s_1210[m]  -> s_0365[m] + 2 s_0799[m] + s_1214[m] 	KLMA_20673 or KLMA_50012 or KLMA_40404 or KLMA_10742 or KLMA_20672	 -0.00	   Inf	  0.00
r_0011	s_0359[c] + s_0794[c] + s_1212[c]  -> s_0680[c] + s_1207[c] 	KLMA_40102 or KLMA_40220 or KLMA_80306 or KLMA_20158 or KLMA_80339 or KLMA_60425	 -0.00	   Inf	  0.00
r_0012	s_0361[m] + s_0799[m] + s_1214[m]  -> s_0682[m] + s_1210[m] 	KLMA_40102 or KLMA_40220 or KLMA_80306 or KLMA_20158 or KLMA_80339 or KLMA_60425	 -0.00	   Inf	  0.00
r_0015	s_0680[c] + s_1198[c]  -> s_0359[c] + s_0794[c] + s_1203[c] 	KLMA_40220	 -0.00	   Inf	  0.00
r_0016	s_0373[c] + s_0680[c]  -> s_0529[c] + s_0685[c] 	KLMA_30203	 -0.00	   Inf	  0.00
r_0017	s_0685[c] + s_0803[c]  -> s_0362[c] + s_0680[c] + s_0794[c] 	KLMA_20604	 -0.00	   Inf	  0.00
