Rxn name	Formula	Gene-reaction association	LB	UB	Objective
EX_acgam_e	acgam_e[e]  -> 		  0.00	   Inf	  0.00
EX_cellb_e	cellb_e[e]  -> 		  0.00	   Inf	  0.00
EX_chol_e	chol_e[e]  -> 		  0.00	   Inf	  0.00
EX_pi_e	pi_e[e]  -> 		  0.00	   Inf	  0.00
EX_h_e	h_e[e]  -> 		  0.00	   Inf	  0.00
EX_ade_e	ade_e[e]  -> 		  0.00	   Inf	  0.00
EX_4abut_e	4abut_e[e]  -> 		  0.00	   Inf	  0.00
EX_ac_e	ac_e[e]  -> 		  0.00	   Inf	  0.00
EX_akg_e	akg_e[e]  -> 		  0.00	   Inf	  0.00
EX_ala__L_e	ala__L_e[e]  -> 		  0.00	   Inf	  0.00
EX_arg__L_e	arg__L_e[e]  -> 		  0.00	   Inf	  0.00
EX_asp__L_e	asp__L_e[e]  -> 		  0.00	   Inf	  0.00
EX_cytd_e	cytd_e[e]  -> 		  0.00	   Inf	  0.00
EX_dcyt_e	dcyt_e[e]  -> 		  0.00	   Inf	  0.00
EX_fum_e	fum_e[e]  -> 		  0.00	   Inf	  0.00
EX_glu__L_e	glu__L_e[e]  -> 		  0.00	   Inf	  0.00
EX_gua_e	gua_e[e]  -> 		  0.00	   Inf	  0.00
EX_met__L_e	met__L_e[e]  -> 		  0.00	   Inf	  0.00
EX_metsox_S__L_e	metsox_S__L_e[e]  -> 		  0.00	   Inf	  0.00
EX_crn_e	crn_e[e]  -> 		  0.00	   Inf	  0.00
EX_fe3_e	fe3_e[e]  -> 		  0.00	   Inf	  0.00
EX_glcn_e	glcn_e[e]  -> 		  0.00	   Inf	  0.00
EX_gln__L_e	gln__L_e[e]  -> 		  0.00	   Inf	  0.00
EX_glyc_e	glyc_e[e]  -> 		  0.00	   Inf	  0.00
EX_man_e	man_e[e]  -> 		  0.00	   Inf	  0.00
EX_mn2_e	mn2_e[e]  -> 		  0.00	   Inf	  0.00
EX_rib__D_e	rib__D_e[e]  -> 		  0.00	   Inf	  0.00
EX_sbt__D_e	sbt__D_e[e]  -> 		  0.00	   Inf	  0.00
EX_ura_e	ura_e[e]  -> 		  0.00	   Inf	  0.00
EX_val__L_e	val__L_e[e]  -> 		  0.00	   Inf	  0.00
EX_xan_e	xan_e[e]  -> 		  0.00	   Inf	  0.00
CDPPH	h2o_c[c] + cdp_c[c]  -> h_c[c] + pi_c[c] + cmp_c[c] 	b3614	  0.00	   Inf	  0.00
NDP7	h2o_c[c] + udp_c[c]  -> h_c[c] + ump_c[c] + pi_c[c] 	b3614	  0.00	   Inf	  0.00
EX_co2_e	co2_e[e]  -> 		  0.00	   Inf	  0.00
EX_hxan_e	hxan_e[e]  -> 		  0.00	   Inf	  0.00
EX_ile__L_e	ile__L_e[e]  -> 		  0.00	   Inf	  0.00
EX_lac__L_e	lac__L_e[e]  -> 		  0.00	   Inf	  0.00
EX_leu__L_e	leu__L_e[e]  -> 		  0.00	   Inf	  0.00
EX_no3_e	no3_e[e]  -> 		  0.00	   Inf	  0.00
EX_orn_e	orn_e[e]  -> 		  0.00	   Inf	  0.00
EX_pro__L_e	pro__L_e[e]  -> 		  0.00	   Inf	  0.00
EX_pyr_e	pyr_e[e]  -> 		  0.00	   Inf	  0.00
EX_succ_e	succ_e[e]  -> 		  0.00	   Inf	  0.00
EX_thymd_e	thymd_e[e]  -> 		  0.00	   Inf	  0.00
